Vehicle_make,Vehicle_type,Vehicle_year,Engine_type,Engine_displacement,Transmission_type,Number_of_cylinders,Vehicle_weight,Vehicle_length,Vehicle_width,Vehicle_height,Safety_rating,Number_of_airbags,ABS_presence,ESC_presence,TCS_presence,TPMS_presence,Crash_location,Weather_conditions,Road_surface_conditions,Time_of_day,Day_of_week,Driver_age,Driver_gender,Crash_severity
Honda,hatchback,2016,electric,1897,manual,6,889,4298,1816,1719,4,2,True,True,True,True,urban,clear,dry,afternoon,Monday,38,Female,severe
Maruti Suzuki,sedan,2000,petrol,2878,manual,4,1556,4382,1956,1607,1,4,0.0,1.0,1.0,0.0,urban,clear,dry,afternoon,nan,42,Female,moderate
Mahindra,SUV,2008,electric,1855,manual,6,1788,4315,1803,1725,1,5,1.0,1.0,1.0,0.0,rural,fog,wet,afternoon,Wednesday,54,Female,severe
Hyundai,sedan,2021,CNG,867,manual,3,1713,4734,1564,1620,1,6,1.0,0.0,,0.0,rural,clear,dry,evening,Saturday,54,nan,severe
Honda,hatchback,2013,petrol,2743,manual,3,1192,3998,1625,1782,3,1,1.0,0.0,0.0,,urban,nan,nan,morning,Friday,72,Female,severe
Mahindra,SUV,2015,CNG,1961,manual,6,1973,4712,1548,1459,2,5,1.0,1.0,0.0,0.0,urban,rain,dry,afternoon,Saturday,30,Female,severe
Maruti Suzuki,sedan,2020,petrol,2472,automatic,4,1211,4708,1713,1680,4,1,True,True,True,True,urban,rain,wet,afternoon,Sunday,54,Male,moderate
Maruti Suzuki,sedan,2012,petrol,1090,automatic,4,2267,4836,1706,1742,2,3,1.0,0.0,,0.0,urban,clear,nan,afternoon,nan,43,Female,moderate
Tata Motors,hatchback,2005,diesel,1774,automatic,4,1963,3953,1819,1666,1,3,1.0,0.0,1.0,1.0,rural,nan,wet,afternoon,Saturday,19,Female,severe
Tata Motors,sedan,2021,diesel,2871,automatic,4,1092,4484,1577,1748,3,7,0.0,1.0,1.0,1.0,rural,rain,dry,night,Thursday,80,Female,severe
Hyundai,SUV,2000,CNG,2944,manual,6,2289,3748,1730,1740,2,5,0.0,1.0,1.0,1.0,urban,clear,nan,night,Thursday,83,Male,severe
Mahindra,SUV,2020,petrol,2903,manual,4,1430,4158,1903,1718,1,1,1.0,1.0,1.0,1.0,rural,fog,wet,afternoon,Wednesday,23,Female,severe
Mahindra,sedan,2003,diesel,2948,manual,4,2070,4282,1940,1783,4,6,True,True,True,True,urban,clear,nan,night,nan,75,Female,severe
Tata Motors,SUV,2002,petrol,1772,manual,6,1921,4174,1697,1553,1,7,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Wednesday,65,Male,severe
Mahindra,SUV,2016,diesel,2112,automatic,6,969,4188,1586,1440,1,1,0.0,1.0,1.0,1.0,urban,rain,dry,morning,Wednesday,71,Male,severe
Mahindra,hatchback,2001,diesel,1541,manual,3,2133,3729,1850,1708,2,2,1.0,1.0,0.0,1.0,urban,nan,nan,evening,Friday,80,Female,severe
Maruti Suzuki,sedan,2018,petrol,2614,manual,6,2249,3723,1483,1602,3,2,1.0,0.0,0.0,1.0,rural,nan,muddy,evening,Monday,66,Male,moderate
Tata Motors,hatchback,2019,petrol,1391,automatic,3,1689,3553,1657,1629,4,7,True,True,True,True,urban,clear,dry,afternoon,nan,30,Male,severe
Honda,hatchback,2022,CNG,1549,manual,3,1890,4559,1513,1551,4,3,True,True,True,True,rural,rain,dry,morning,nan,22,Female,severe
Tata Motors,hatchback,2021,CNG,1637,automatic,4,855,4199,1488,1736,4,3,True,True,True,True,urban,fog,dry,evening,Wednesday,51,Female,severe
Honda,hatchback,2007,CNG,1333,manual,4,2381,3981,1935,1493,3,1,1.0,1.0,1.0,,rural,clear,nan,evening,Monday,21,Female,severe
Maruti Suzuki,sedan,2014,petrol,1164,automatic,4,2340,4085,1946,1790,4,1,True,True,True,True,nan,clear,dry,night,Wednesday,51,Female,moderate
Hyundai,hatchback,2005,CNG,1166,automatic,4,1367,4823,1820,1527,1,4,0.0,1.0,1.0,1.0,rural,rain,wet,morning,Thursday,34,Female,severe
Mahindra,SUV,2022,diesel,2872,manual,6,950,3788,1573,1628,3,7,1.0,0.0,,1.0,rural,clear,wet,night,Sunday,18,Male,severe
Maruti Suzuki,sedan,2019,petrol,2452,manual,4,1117,4951,1979,1472,4,2,True,True,True,True,urban,clear,dry,evening,nan,54,Male,moderate
Mahindra,SUV,2001,petrol,2190,automatic,6,1964,3810,1901,1482,3,1,1.0,1.0,0.0,0.0,urban,clear,dry,afternoon,Saturday,25,Male,severe
Hyundai,hatchback,2014,CNG,1861,manual,4,2138,3957,1968,1635,1,1,1.0,1.0,1.0,1.0,rural,nan,dry,evening,nan,42,Female,severe
Hyundai,hatchback,2019,petrol,2834,automatic,4,1783,3550,1951,1591,2,3,0.0,1.0,,0.0,rural,clear,dry,evening,Tuesday,63,Female,severe
Maruti Suzuki,sedan,2011,petrol,1181,manual,3,1776,4622,1873,1767,3,5,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,nan,64,Female,moderate
Hyundai,SUV,2002,CNG,1505,automatic,4,805,3841,1612,1445,2,3,1.0,1.0,1.0,1.0,urban,nan,nan,evening,Friday,29,Female,severe
Honda,SUV,2009,electric,1989,manual,4,988,4062,1572,1450,3,1,1.0,,1.0,1.0,urban,clear,dry,afternoon,Thursday,79,Female,severe
Hyundai,pickup,2013,electric,2901,automatic,3,1116,4482,1799,1619,1,2,1.0,1.0,1.0,1.0,urban,rain,wet,morning,Thursday,38,Female,severe
Mahindra,pickup,2021,diesel,2871,automatic,6,1530,4908,1678,1498,2,5,1.0,,1.0,0.0,urban,rain,wet,evening,nan,80,Female,severe
Mahindra,pickup,2013,diesel,1194,manual,6,2428,3956,1615,1789,4,4,True,True,True,True,nan,clear,nan,afternoon,Wednesday,48,Female,severe
Mahindra,pickup,2002,electric,2966,manual,6,1323,4827,1909,1685,4,7,True,True,True,True,rural,clear,dry,evening,Tuesday,72,Female,severe
Mahindra,sedan,2000,CNG,1782,automatic,6,1986,4250,1994,1500,2,6,1.0,,0.0,,urban,rain,dry,night,Friday,43,Male,severe
Honda,hatchback,2019,diesel,2762,automatic,4,2191,4351,1618,1543,3,6,1.0,0.0,1.0,1.0,rural,rain,dry,afternoon,Monday,28,Female,severe
Tata Motors,SUV,2000,electric,2340,automatic,6,1316,3765,1503,1634,2,3,,1.0,1.0,1.0,rural,clear,dry,night,Saturday,59,Male,severe
Maruti Suzuki,sedan,2001,petrol,1272,manual,6,1889,3525,1450,1774,4,4,True,True,True,True,rural,clear,wet,morning,Monday,25,Female,moderate
Mahindra,SUV,2018,diesel,2215,automatic,6,1514,4573,1476,1712,3,2,1.0,1.0,,1.0,rural,nan,dry,afternoon,Thursday,21,Male,severe
Hyundai,hatchback,2009,petrol,2775,automatic,6,2147,4442,1828,1761,2,5,1.0,1.0,1.0,1.0,rural,clear,wet,evening,Sunday,46,Female,severe
Mahindra,sedan,2003,petrol,2850,manual,3,2016,4140,1403,1716,3,6,1.0,1.0,1.0,0.0,rural,clear,dry,evening,Thursday,21,Female,severe
Hyundai,pickup,2003,petrol,1724,automatic,6,2188,3864,1710,1672,3,2,1.0,1.0,1.0,1.0,urban,clear,dry,night,Sunday,81,Female,severe
Hyundai,hatchback,2012,CNG,1675,manual,6,2193,4668,1488,1644,1,6,1.0,1.0,0.0,1.0,urban,clear,muddy,afternoon,Saturday,18,Male,severe
Mahindra,SUV,2008,diesel,1946,automatic,6,2159,3644,1870,1647,1,5,0.0,1.0,,0.0,urban,clear,dry,night,Saturday,22,Male,severe
Honda,hatchback,2006,electric,1178,manual,3,1377,3666,1762,1662,3,4,,0.0,0.0,,urban,rain,dry,evening,Thursday,60,Male,severe
Hyundai,sedan,2015,diesel,2121,manual,4,1466,4566,1429,1562,4,4,True,True,True,True,rural,clear,dry,evening,nan,24,Female,severe
Hyundai,sedan,2017,petrol,2985,manual,3,1387,4471,1557,1520,4,2,True,True,True,True,urban,clear,nan,morning,Wednesday,59,Female,severe
Mahindra,hatchback,2002,petrol,924,manual,3,1572,4538,1916,1596,3,5,,,1.0,1.0,urban,clear,wet,night,Thursday,31,Female,severe
Hyundai,pickup,2019,CNG,2225,manual,3,1956,3628,1892,1746,3,6,0.0,0.0,1.0,1.0,rural,clear,wet,afternoon,Saturday,82,Female,severe
Hyundai,SUV,2019,electric,1603,manual,6,1653,3557,1670,1429,1,7,0.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Saturday,67,Female,severe
Mahindra,sedan,2009,CNG,2185,automatic,4,1964,3553,1800,1571,4,4,True,True,True,True,nan,clear,muddy,morning,Wednesday,30,Male,severe
Mahindra,sedan,2021,electric,2913,manual,4,1135,4747,1447,1505,1,5,1.0,1.0,1.0,1.0,rural,clear,dry,afternoon,Sunday,29,Female,severe
Maruti Suzuki,hatchback,2015,petrol,1231,automatic,6,1657,3632,1752,1607,4,4,True,True,True,True,rural,clear,dry,morning,Sunday,80,Male,moderate
Honda,sedan,2002,CNG,2758,manual,4,1298,4766,1680,1789,4,1,True,True,True,True,rural,clear,dry,night,Monday,52,Male,severe
Honda,sedan,2010,CNG,1912,manual,6,1448,3709,1899,1455,2,4,1.0,,1.0,1.0,urban,clear,dry,night,Thursday,83,Male,severe
Hyundai,SUV,2009,CNG,1661,automatic,4,975,3741,1674,1535,3,1,1.0,0.0,,1.0,urban,rain,dry,evening,Saturday,56,Male,severe
Honda,pickup,2015,petrol,1655,manual,6,1599,3882,1458,1780,2,2,0.0,1.0,1.0,1.0,rural,clear,dry,evening,Wednesday,81,Male,severe
Hyundai,SUV,2007,petrol,2793,automatic,4,1650,4733,1580,1622,4,1,True,True,True,True,urban,fog,wet,evening,Saturday,74,nan,severe
Maruti Suzuki,hatchback,2008,petrol,957,automatic,3,1859,3714,1870,1419,1,7,1.0,1.0,0.0,1.0,rural,rain,dry,morning,Tuesday,57,Female,moderate
Mahindra,SUV,2014,diesel,1875,automatic,4,1787,4767,1823,1685,3,7,1.0,1.0,1.0,1.0,rural,clear,dry,morning,Monday,78,Female,severe
Mahindra,hatchback,2020,CNG,1022,manual,4,942,4594,1612,1732,2,2,1.0,1.0,1.0,1.0,urban,clear,wet,morning,Friday,49,Male,severe
Mahindra,sedan,2002,petrol,2506,automatic,6,1448,4313,1499,1425,4,1,True,True,True,True,urban,clear,dry,evening,Monday,70,Male,severe
Honda,pickup,2003,CNG,1344,automatic,3,1327,4613,1861,1465,4,2,True,True,True,True,urban,rain,dry,evening,Thursday,84,Female,severe
Maruti Suzuki,sedan,2012,petrol,1337,automatic,4,2327,4972,1418,1460,2,7,1.0,,1.0,0.0,urban,clear,wet,afternoon,Thursday,70,Male,moderate
Honda,sedan,2011,electric,2236,manual,6,805,4679,1935,1444,3,4,1.0,0.0,1.0,1.0,urban,clear,dry,morning,nan,22,Male,severe
Honda,sedan,2020,diesel,1059,manual,3,1383,4901,1489,1701,2,6,1.0,1.0,1.0,1.0,rural,clear,wet,morning,Monday,71,Female,severe
Maruti Suzuki,sedan,2008,petrol,1625,manual,3,1472,3583,1889,1679,2,7,1.0,0.0,0.0,1.0,urban,fog,nan,morning,Friday,80,Male,moderate
Maruti Suzuki,hatchback,2013,petrol,1115,manual,6,1023,4948,1714,1732,1,3,1.0,1.0,1.0,1.0,rural,rain,nan,afternoon,Sunday,57,Male,moderate
Maruti Suzuki,hatchback,2018,petrol,1545,manual,3,1155,4162,1716,1514,1,6,0.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Monday,46,Male,moderate
Maruti Suzuki,hatchback,2006,petrol,1518,automatic,6,1737,4453,1431,1415,2,3,1.0,1.0,1.0,0.0,rural,nan,wet,morning,Saturday,65,Male,moderate
Mahindra,sedan,2015,petrol,1900,automatic,6,1807,3581,1956,1737,2,7,1.0,,1.0,1.0,urban,clear,wet,night,nan,49,Male,severe
Tata Motors,pickup,2021,CNG,1260,automatic,6,1859,4300,1818,1543,4,3,True,True,True,True,nan,rain,dry,evening,Monday,24,Male,severe
Tata Motors,hatchback,2019,electric,1904,automatic,3,1345,4709,1837,1721,3,1,1.0,1.0,1.0,1.0,rural,fog,dry,afternoon,Thursday,51,Male,severe
Maruti Suzuki,sedan,2004,petrol,2502,manual,3,1324,3588,1529,1528,4,3,True,True,True,True,urban,rain,dry,evening,Sunday,38,Male,moderate
Tata Motors,pickup,2009,CNG,2206,manual,6,1880,3659,1980,1473,1,2,0.0,,1.0,1.0,urban,clear,dry,night,Tuesday,82,Male,severe
Tata Motors,pickup,2017,CNG,2996,manual,4,1830,4507,1607,1424,3,1,1.0,1.0,1.0,,nan,clear,muddy,morning,Friday,43,Male,severe
Maruti Suzuki,hatchback,2010,petrol,2613,manual,6,2266,3869,1598,1413,3,1,0.0,1.0,,0.0,nan,clear,dry,night,Friday,60,Male,moderate
Tata Motors,pickup,2006,diesel,2614,automatic,6,2138,4061,1643,1608,1,6,1.0,0.0,1.0,,urban,rain,dry,night,Saturday,25,Male,severe
Honda,hatchback,2013,CNG,2541,automatic,6,910,3678,1760,1534,4,4,True,True,True,True,rural,clear,wet,morning,Saturday,30,Male,severe
Hyundai,sedan,2019,petrol,1773,automatic,4,1939,4231,1487,1420,2,7,0.0,1.0,1.0,1.0,urban,rain,dry,night,Friday,71,Male,severe
Hyundai,pickup,2017,diesel,1721,manual,3,2130,4728,1960,1748,2,2,1.0,,1.0,1.0,urban,clear,nan,evening,Sunday,45,Male,severe
Maruti Suzuki,sedan,2010,petrol,829,automatic,3,1570,4014,1425,1490,3,2,,1.0,1.0,1.0,urban,rain,dry,afternoon,Tuesday,67,Female,moderate
Mahindra,SUV,2021,CNG,2131,automatic,6,2490,3615,1623,1448,3,7,1.0,1.0,1.0,0.0,urban,clear,dry,night,Sunday,43,Female,severe
Maruti Suzuki,sedan,2011,petrol,1030,manual,6,1109,4870,1890,1787,2,4,0.0,0.0,0.0,1.0,rural,nan,wet,morning,nan,50,Male,moderate
Mahindra,hatchback,2017,diesel,1985,manual,3,893,3900,1682,1411,3,7,1.0,1.0,1.0,1.0,urban,nan,nan,morning,Tuesday,21,Female,severe
Hyundai,sedan,2001,petrol,2051,automatic,6,2015,3798,1910,1421,2,5,1.0,0.0,,1.0,urban,clear,wet,morning,nan,55,Male,severe
Maruti Suzuki,hatchback,2022,petrol,2044,manual,3,1601,4168,1568,1759,1,4,1.0,1.0,1.0,,urban,rain,dry,evening,Sunday,52,Male,moderate
Honda,hatchback,2000,CNG,1896,automatic,4,2102,4009,1738,1561,1,5,1.0,1.0,1.0,0.0,urban,fog,muddy,morning,Monday,58,Male,severe
Tata Motors,hatchback,2022,diesel,1198,automatic,6,1359,4631,1789,1555,2,3,1.0,1.0,1.0,,urban,rain,dry,evening,Thursday,37,Male,severe
Mahindra,pickup,2009,CNG,894,automatic,3,1878,3551,1610,1558,3,3,1.0,,,1.0,rural,fog,dry,afternoon,Monday,42,Female,severe
Tata Motors,SUV,2020,diesel,2564,automatic,6,816,4507,1506,1669,1,6,,,1.0,1.0,urban,clear,dry,morning,Thursday,74,Female,severe
Tata Motors,pickup,2000,CNG,1274,automatic,4,2158,4876,1716,1486,2,7,0.0,1.0,0.0,1.0,nan,clear,dry,morning,Saturday,40,Female,severe
Maruti Suzuki,sedan,2005,petrol,2729,manual,6,1885,4039,1721,1736,2,3,0.0,,1.0,1.0,urban,clear,wet,afternoon,Wednesday,27,Male,moderate
Tata Motors,pickup,2006,petrol,2578,manual,4,1436,3711,1604,1608,3,3,1.0,1.0,1.0,1.0,urban,rain,muddy,afternoon,Tuesday,41,Female,severe
Honda,SUV,2016,CNG,1812,manual,6,1548,4632,1623,1407,3,4,1.0,1.0,,0.0,urban,clear,muddy,night,nan,81,Female,severe
Tata Motors,pickup,2008,diesel,1947,automatic,3,2396,4269,1442,1565,4,3,True,True,True,True,rural,fog,dry,morning,Tuesday,28,Female,severe
Maruti Suzuki,hatchback,2006,petrol,2323,automatic,4,1355,4893,1461,1409,3,7,1.0,1.0,1.0,1.0,urban,clear,muddy,afternoon,nan,77,Female,moderate
Honda,sedan,2016,electric,1420,manual,4,2150,4231,1412,1429,1,4,1.0,1.0,0.0,1.0,urban,clear,nan,afternoon,Saturday,74,Female,severe
Hyundai,SUV,2002,diesel,2794,manual,4,1951,4028,1877,1662,1,6,1.0,1.0,1.0,1.0,urban,clear,wet,afternoon,Tuesday,47,Male,severe
Tata Motors,sedan,2015,petrol,2942,manual,6,2323,4763,1482,1657,1,7,1.0,1.0,1.0,1.0,urban,rain,muddy,night,Sunday,70,nan,severe
Maruti Suzuki,hatchback,2004,petrol,2300,automatic,3,1811,4223,1773,1677,2,2,1.0,1.0,0.0,,urban,clear,nan,afternoon,nan,43,Female,moderate
Hyundai,pickup,2019,petrol,2880,manual,6,1058,4925,1988,1532,2,2,0.0,1.0,1.0,1.0,urban,clear,dry,morning,Tuesday,19,Female,severe
Hyundai,hatchback,2017,electric,2126,manual,6,1512,4512,1494,1596,2,1,1.0,1.0,1.0,,nan,clear,muddy,morning,Friday,60,Female,severe
Mahindra,sedan,2000,petrol,921,automatic,4,1634,4295,1919,1455,1,2,1.0,1.0,1.0,1.0,urban,clear,wet,night,nan,50,Male,severe
Honda,sedan,2003,CNG,1017,manual,6,2447,4703,1930,1675,4,5,True,True,True,True,nan,rain,wet,evening,Sunday,67,Male,severe
Tata Motors,SUV,2022,electric,2866,manual,4,1811,4795,1685,1597,2,7,1.0,1.0,1.0,1.0,urban,rain,dry,afternoon,Tuesday,36,Male,severe
Maruti Suzuki,hatchback,2010,petrol,1982,automatic,4,1666,4428,1966,1723,4,5,True,True,True,True,urban,nan,nan,night,Monday,33,Female,moderate
Mahindra,pickup,2019,petrol,2494,automatic,4,1703,3584,1573,1584,2,3,1.0,1.0,1.0,1.0,urban,clear,wet,evening,Friday,69,Male,severe
Honda,pickup,2008,diesel,1594,manual,4,1209,4824,1565,1420,1,7,,1.0,0.0,1.0,urban,rain,dry,afternoon,Thursday,40,Female,severe
Mahindra,sedan,2007,petrol,2424,automatic,3,1687,3920,1672,1416,4,1,True,True,True,True,rural,clear,wet,evening,nan,44,Female,severe
Honda,hatchback,2007,petrol,975,manual,3,942,3709,1753,1478,2,4,1.0,1.0,1.0,1.0,rural,rain,wet,evening,Thursday,82,Female,severe
Honda,hatchback,2004,electric,1091,manual,6,1196,4831,1842,1426,1,4,0.0,1.0,1.0,0.0,urban,nan,dry,afternoon,Tuesday,28,Male,severe
Tata Motors,pickup,2011,CNG,1290,manual,6,2182,3561,1948,1566,2,6,1.0,1.0,1.0,1.0,urban,nan,dry,evening,Thursday,65,Female,severe
Honda,SUV,2000,diesel,2403,manual,4,2475,3504,1771,1738,3,4,1.0,1.0,1.0,1.0,nan,clear,dry,evening,Monday,41,Female,severe
Mahindra,sedan,2014,petrol,2060,automatic,6,1538,3995,1849,1634,1,3,0.0,1.0,1.0,1.0,urban,clear,wet,afternoon,Thursday,68,Male,severe
Honda,sedan,2017,CNG,2972,automatic,4,2142,4630,1441,1510,2,1,1.0,1.0,1.0,1.0,urban,fog,dry,evening,nan,83,Female,severe
Tata Motors,hatchback,2005,CNG,2690,automatic,3,1447,4997,1654,1613,4,6,True,True,True,True,rural,clear,dry,afternoon,Saturday,83,Female,severe
Tata Motors,pickup,2009,diesel,1403,manual,6,1769,4230,1464,1770,2,2,1.0,0.0,1.0,,urban,clear,wet,evening,Thursday,56,Female,severe
Mahindra,hatchback,2013,CNG,1928,manual,6,1601,4910,1872,1768,4,7,True,True,True,True,rural,clear,wet,evening,nan,51,Male,severe
Hyundai,hatchback,2020,petrol,1865,manual,6,1511,3678,1735,1597,3,6,0.0,1.0,0.0,1.0,urban,clear,dry,night,Wednesday,51,Male,severe
Hyundai,pickup,2007,electric,2464,automatic,3,2101,4589,1409,1596,3,2,1.0,1.0,0.0,0.0,urban,clear,dry,morning,Friday,59,Male,severe
Honda,SUV,2002,CNG,2590,manual,4,2475,4028,1420,1412,4,3,True,True,True,True,urban,rain,dry,morning,Sunday,59,Female,severe
Maruti Suzuki,hatchback,2021,petrol,1290,manual,3,2485,4910,1579,1512,2,6,0.0,0.0,1.0,1.0,urban,clear,muddy,afternoon,Saturday,32,Female,moderate
Honda,SUV,2021,diesel,2943,manual,4,1914,3886,1758,1497,4,5,True,True,True,True,urban,clear,dry,afternoon,Monday,74,Male,severe
Mahindra,pickup,2018,diesel,967,automatic,6,1905,4051,1478,1705,3,4,,1.0,1.0,0.0,urban,fog,dry,night,nan,27,Male,severe
Mahindra,pickup,2011,CNG,1558,manual,6,818,3835,1532,1537,3,6,1.0,1.0,0.0,1.0,rural,clear,dry,night,Saturday,68,Female,severe
Mahindra,sedan,2011,electric,1997,manual,4,2202,4087,1791,1455,3,5,1.0,1.0,1.0,1.0,rural,clear,wet,evening,nan,74,Male,severe
Mahindra,SUV,2014,petrol,1602,automatic,4,1444,4257,1963,1503,4,2,True,True,True,True,urban,clear,dry,morning,nan,41,Female,severe
Mahindra,sedan,2006,electric,1973,automatic,3,1583,4574,1784,1631,3,3,1.0,0.0,1.0,0.0,rural,fog,dry,evening,Thursday,39,Male,severe
Tata Motors,hatchback,2003,CNG,2450,manual,3,1168,4140,1483,1571,2,6,1.0,1.0,1.0,0.0,urban,nan,muddy,night,Sunday,53,Male,severe
Hyundai,hatchback,2020,electric,979,manual,4,1257,3806,1686,1427,4,5,True,True,True,True,urban,fog,nan,afternoon,Sunday,69,Male,severe
Mahindra,hatchback,2008,electric,827,automatic,6,818,4783,1551,1692,3,2,,1.0,,1.0,rural,clear,wet,evening,Monday,73,Male,severe
Maruti Suzuki,sedan,2021,petrol,2644,automatic,4,2076,4220,1653,1691,4,3,True,True,True,True,nan,clear,dry,evening,Friday,33,Male,moderate
Maruti Suzuki,hatchback,2015,petrol,2964,automatic,6,2187,3710,1700,1491,3,6,1.0,1.0,1.0,1.0,urban,clear,nan,evening,Thursday,76,Male,moderate
Maruti Suzuki,hatchback,2012,petrol,1061,manual,6,2016,4954,1790,1604,1,4,1.0,1.0,0.0,1.0,rural,nan,dry,evening,Tuesday,62,Female,moderate
Maruti Suzuki,sedan,2003,petrol,996,automatic,6,2101,4434,1529,1712,3,6,1.0,1.0,1.0,,rural,nan,dry,evening,Monday,54,Female,moderate
Tata Motors,sedan,2008,petrol,2260,manual,4,2480,3548,1856,1435,2,1,1.0,0.0,1.0,1.0,urban,clear,dry,afternoon,Friday,57,Male,severe
Maruti Suzuki,sedan,2020,petrol,2462,automatic,3,1858,3940,1974,1528,1,2,1.0,,1.0,1.0,urban,clear,dry,afternoon,Thursday,73,Male,moderate
Mahindra,SUV,2017,petrol,2762,manual,6,1478,3745,1952,1570,4,1,True,True,True,True,nan,fog,dry,afternoon,Monday,46,Female,severe
Honda,sedan,2014,CNG,1132,manual,4,2067,4050,1488,1792,3,3,1.0,1.0,0.0,1.0,urban,clear,nan,evening,nan,59,Female,severe
Maruti Suzuki,sedan,2014,petrol,1981,automatic,6,2408,3951,1729,1762,1,2,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,nan,55,Male,moderate
Tata Motors,SUV,2005,electric,2601,automatic,4,1444,4668,1870,1761,4,4,True,True,True,True,rural,clear,dry,morning,nan,22,Female,severe
Tata Motors,pickup,2010,electric,878,manual,3,1896,4154,1442,1594,1,7,1.0,1.0,1.0,,urban,clear,dry,afternoon,Wednesday,45,Female,severe
Maruti Suzuki,hatchback,2007,petrol,2667,automatic,4,1426,3746,1866,1770,2,4,1.0,1.0,1.0,1.0,urban,clear,wet,morning,Saturday,43,Male,moderate
Honda,hatchback,2020,petrol,2692,manual,6,2090,3860,1454,1431,4,3,True,True,True,True,urban,fog,dry,morning,Sunday,49,Female,severe
Maruti Suzuki,sedan,2016,petrol,996,manual,3,2157,4167,1450,1518,2,1,1.0,1.0,,1.0,urban,clear,dry,afternoon,Tuesday,54,Male,moderate
Tata Motors,pickup,2016,electric,2583,automatic,6,1421,3515,1753,1779,3,6,1.0,1.0,,,urban,clear,muddy,morning,Thursday,46,Male,severe
Hyundai,sedan,2017,petrol,1025,manual,4,1991,3889,1974,1469,4,5,True,True,True,True,nan,clear,wet,afternoon,Saturday,74,Male,severe
Mahindra,sedan,2003,electric,2361,automatic,6,1527,3847,1648,1713,1,4,1.0,,1.0,0.0,urban,nan,dry,morning,Wednesday,53,Male,severe
Tata Motors,sedan,2014,CNG,1534,manual,4,2163,4427,1726,1597,1,1,1.0,1.0,,0.0,urban,clear,dry,evening,Monday,60,Female,severe
Maruti Suzuki,hatchback,2001,petrol,2162,manual,3,896,3780,1506,1744,4,1,True,True,True,True,urban,rain,nan,afternoon,Friday,51,Male,moderate
